"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"

"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"

"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."

"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","2557"
">","THREAD_COUNT:","2"
">","EXTENTS_LEFT:","0.000000"
">","EXTENTS_TOP:","-62.299999"
">","EXTENTS_RIGHT:","59.099999"
">","EXTENTS_BOTTOM:","44.899999"
">","EXTENTS_WIDTH:","59.099999"
">","EXTENTS_HEIGHT:","107.199998"

"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"$","1","255","0","0","TODO:DESCRIPTION","TODO:CATALOG_NUMBER"
"$","2","255","255","255","TODO:DESCRIPTION","TODO:CATALOG_NUMBER"

"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","32.4000","-19.3000"
"*","STITCH","29.6000","-22.1000"
"*","STITCH","26.8000","-24.9000"
"*","STITCH","23.9000","-27.8000"
"*","STITCH","21.1000","-30.6000"
"*","STITCH","18.3000","-33.4000"
"*","STITCH","16.4000","-35.6000"
"*","STITCH","19.3000","-32.7000"
"*","STITCH","22.1000","-29.9000"
"*","STITCH","24.9000","-27.1000"
"*","STITCH","27.8000","-24.3000"
"*","STITCH","30.6000","-21.4000"
"*","STITCH","33.4000","-18.6000"
"*","STITCH","33.9000","-18.1000"
"*","STITCH","31.6000","-20.7000"
"*","STITCH","28.8000","-23.6000"
"*","STITCH","25.9000","-26.4000"
"*","STITCH","23.1000","-29.2000"
"*","STITCH","20.3000","-32.0000"
"*","STITCH","17.5000","-34.9000"
"*","STITCH","16.7000","-35.9000"
"*","STITCH","18.5000","-34.2000"
"*","STITCH","21.3000","-31.4000"
"*","STITCH","24.1000","-28.5000"
"*","STITCH","27.0000","-25.7000"
"*","STITCH","29.8000","-22.9000"
"*","STITCH","32.6000","-20.0000"
"*","STITCH","34.1000","-18.6000"
"*","STITCH","33.6000","-19.3000"
"*","STITCH","30.8000","-22.2000"
"*","STITCH","28.0000","-25.0000"
"*","STITCH","25.1000","-27.8000"
"*","STITCH","22.3000","-30.7000"
"*","STITCH","19.5000","-33.5000"
"*","STITCH","17.1000","-36.2000"
"*","STITCH","17.7000","-35.6000"
"*","STITCH","20.5000","-32.8000"
"*","STITCH","23.3000","-30.0000"
"*","STITCH","26.1000","-27.1000"
"*","STITCH","29.0000","-24.3000"
"*","STITCH","31.8000","-21.5000"
"*","STITCH","34.2000","-19.1000"
"*","STITCH","32.8000","-20.8000"
"*","STITCH","30.0000","-23.6000"
"*","STITCH","27.1000","-26.5000"
"*","STITCH","24.3000","-29.3000"
"*","STITCH","21.5000","-32.1000"
"*","STITCH","18.7000","-34.9000"
"*","STITCH","17.4000","-36.5000"
"*","STITCH","19.7000","-34.2000"
"*","STITCH","22.5000","-31.4000"
"*","STITCH","25.3000","-28.6000"
"*","STITCH","28.1000","-25.8000"
"*","STITCH","31.0000","-22.9000"
"*","STITCH","33.8000","-20.1000"
"*","STITCH","34.3000","-19.6000"
"*","STITCH","32.0000","-22.2000"
"*","STITCH","29.2000","-25.1000"
"*","STITCH","26.3000","-27.9000"
"*","STITCH","23.5000","-30.7000"
"*","STITCH","20.7000","-33.6000"
"*","STITCH","17.8000","-36.4000"
"*","STITCH","17.8000","-36.7000"
"*","STITCH","18.8000","-35.7000"
"*","STITCH","21.7000","-32.9000"
"*","STITCH","24.5000","-30.0000"
"*","STITCH","27.3000","-27.2000"
"*","STITCH","30.2000","-24.4000"
"*","STITCH","33.0000","-21.6000"
